ENSEMBLE	Chrom	Start	End	Strand	Type	SYMBOL
ENSMUSG00000024653.2	chr19	9083636	9087958	-	protein_coding	Scgb1a1
ENSMUSG00000054619.7	chr15	100304140	100328662	+	protein_coding	Mettl7a1
ENSMUSG00000028536.12	chr4	118526999	118530228	+	protein_coding	2610528J11Rik
ENSMUSG00000029649.10	chr5	147860461	147876456	+	protein_coding	Pomp
ENSMUSG00000006360.11	chr12	113146316	113153879	+	protein_coding	Crip1
ENSMUSG00000107875.1	chr6	48374136	48395408	-	lincRNA	Gm44696
ENSMUSG00000031467.10	chr8	18846277	18891361	+	protein_coding	Agpat5
ENSMUSG00000013622.15	chr5	31048312	31054623	+	protein_coding	Atraid
ENSMUSG00000078518.1	chr4	138870992	138873964	-	protein_coding	Gm13030
ENSMUSG00000097809.2	chr7	29853085	29858990	+	antisense	Gm26554
ENSMUSG00000085430.2	chr9	105333513	105348916	+	antisense	Gm15619
ENSMUSG00000114200.1	chr13	59405486	59409301	-	lincRNA	Gm34721
ENSMUSG00000085468.1	chr10	76564765	76570532	-	antisense	Gm15343
ENSMUSG00000094328.2	chr3	94047981	94054885	-	protein_coding	Tdpoz9
ENSMUSG00000024330.17	chr17	34039437	34066685	+	protein_coding	Col11a2
ENSMUSG00000085829.1	chr14	75843379	75844964	-	antisense	Gm4285
ENSMUSG00000042389.13	chr6	115544664	115578628	+	protein_coding	Tsen2
ENSMUSG00000018547.8	chr11	97715157	97744704	-	protein_coding	Pip4k2b
ENSMUSG00000079560.13	chr6	52169062	52213336	-	protein_coding	Hoxa3
ENSMUSG00000043939.15	chr17	48149126	48167275	-	protein_coding	A530064D06Rik
ENSMUSG00000105034.1	chr3	82794975	82812234	-	lincRNA	Gm43348
ENSMUSG00000026694.19	chr1	162532127	162548551	-	protein_coding	Eef1aknmt
ENSMUSG00000049184.6	chr8	33386325	33417467	+	protein_coding	Purg
ENSMUSG00000020164.7	chr10	116418052	116421237	+	antisense	Kcnmb4os1
ENSMUSG00000100118.1	chrY	50544517	50547755	+	lincRNA	Gm29117
ENSMUSG00000096883.2	chr15	82206168	82212815	-	protein_coding	Shisa8
ENSMUSG00000000001.4	chr3	108107280	108146146	-	protein_coding	Gnai3
ENSMUSG00000030871.11	chr7	122037213	122067263	-	protein_coding	Ears2
ENSMUSG00000117091.1	chr1	30977243	30977968	-	protein_coding	Gm5698
ENSMUSG00000042197.13	chr1	33761545	33814595	-	protein_coding	Zfp451
ENSMUSG00000005893.14	chr6	92091390	92174294	+	protein_coding	Nr2c2
ENSMUSG00000023791.17	chr16	32084416	32099740	-	protein_coding	Pigx
ENSMUSG00000014245.8	chr11	62458460	62514417	+	protein_coding	Pigl
ENSMUSG00000033931.9	chr8	126947172	126971071	-	protein_coding	Rbm34
ENSMUSG00000027797.15	chr3	55242364	55539068	+	protein_coding	Dclk1
ENSMUSG00000112399.1	chr10	117559099	117560423	+	lincRNA	Gm32235
ENSMUSG00000023143.10	chr16	5195289	5204012	-	protein_coding	Nagpa
ENSMUSG00000113757.1	chr13	5887109	5928045	+	lincRNA	Gm47507
ENSMUSG00000026065.8	chr1	40580081	40630725	+	protein_coding	Slc9a4
ENSMUSG00000051550.10	chr7	4983483	4996158	-	protein_coding	Zfp579
ENSMUSG00000111814.1	chr9	38291107	38294465	+	protein_coding	Olfr896-ps1
ENSMUSG00000085095.2	chr7	99660130	99667500	+	antisense	Gm15635
ENSMUSG00000095170.2	chr12	115567149	115567591	-	IG_V_gene	Ighv8-11
ENSMUSG00000002058.13	chr11	78343482	78349164	+	protein_coding	Unc119
ENSMUSG00000090215.9	chr7	104329471	104336909	+	protein_coding	Trim34b
ENSMUSG00000070902.5	chr4	90218820	90225702	+	protein_coding	Zfp352
ENSMUSG00000019854.17	chr10	18055861	18125155	+	protein_coding	Reps1
ENSMUSG00000025588.4	chr8	67480921	67492104	+	protein_coding	Nat1
ENSMUSG00000049892.7	chr11	59963181	59964944	-	protein_coding	Rasd1
ENSMUSG00000025544.13	chr14	122107038	122159604	+	protein_coding	Tm9sf2
ENSMUSG00000037098.18	chr17	25989036	26069555	-	protein_coding	Rab11fip3
ENSMUSG00000087496.1	chr2	32873755	32876001	-	antisense	Gm13523
ENSMUSG00000086236.9	chr9	103423578	103461260	+	antisense	5830418P13Rik
ENSMUSG00000000127.15	chr17	63863062	64139496	+	protein_coding	Fer
ENSMUSG00000022370.13	chr15	55534094	55557748	-	protein_coding	Mrpl13
ENSMUSG00000097923.1	chr10	21145094	21154374	+	antisense	Gm26577
ENSMUSG00000024974.10	chr19	53600398	53645833	+	protein_coding	Smc3
ENSMUSG00000025962.15	chr1	63730614	63754655	+	protein_coding	Fastkd2
ENSMUSG00000005373.13	chr5	135089890	135138382	+	protein_coding	Mlxipl
ENSMUSG00000042515.13	chrX	139210042	139238335	+	protein_coding	Pwwp3b
ENSMUSG00000028771.13	chr5	20986645	21055911	-	protein_coding	Ptpn12
ENSMUSG00000024442.6	chr18	38250255	38265461	+	protein_coding	Dele1
ENSMUSG00000055633.6	chr7	5051538	5053723	+	protein_coding	Zfp580
ENSMUSG00000110618.1	chr11	51898966	51909624	+	lincRNA	Gm39822
ENSMUSG00000104987.1	chr5	131615438	131625087	+	antisense	2810432F15Rik
ENSMUSG00000095901.2	chr7	140567886	140575793	+	protein_coding	Olfr538
ENSMUSG00000001751.9	chr11	101070012	101077672	+	protein_coding	Naglu
ENSMUSG00000021843.17	chr14	47648448	47739894	+	protein_coding	Ktn1
ENSMUSG00000069971.5	chr8	87563853	87589424	+	protein_coding	4933402J07Rik
ENSMUSG00000024446.13	chr17	36255645	36258069	-	protein_coding	Rpp21
ENSMUSG00000085842.7	chr1	61767415	61851540	-	antisense	Pard3bos1
ENSMUSG00000072709.3	chr11	73452886	73457508	-	protein_coding	Olfr380
ENSMUSG00000036251.16	chr1	88277661	88389293	+	protein_coding	Trpm8
ENSMUSG00000037108.13	chr5	137787798	137822621	+	protein_coding	Zcwpw1
ENSMUSG00000085592.1	chr10	119442679	119443624	-	antisense	Gm16321
ENSMUSG00000033486.14	chr2	121392631	121413792	-	protein_coding	Catsper2
ENSMUSG00000067219.9	chr5	72647795	72671078	+	protein_coding	Nipal1
ENSMUSG00000041202.12	chr4	138775735	138782046	+	protein_coding	Pla2g2d
ENSMUSG00000084336.2	chr2	90116187	90121412	-	protein_coding	Olfr1269
ENSMUSG00000060084.4	chr14	50707373	50713797	+	protein_coding	Olfr748
ENSMUSG00000028645.11	chr4	119108711	119137983	+	protein_coding	Slc2a1
ENSMUSG00000101649.1	chrY	44821007	44823896	+	lincRNA	Gm29444
ENSMUSG00000051036.13	chr3	88069410	88078304	-	protein_coding	Ttc24
ENSMUSG00000079362.5	chr5	105214907	105293695	-	protein_coding	Gm43302
ENSMUSG00000050370.5	chr19	34473778	34475164	-	protein_coding	Ch25h
ENSMUSG00000036814.13	chr9	123634770	123678885	-	protein_coding	Slc6a20a
ENSMUSG00000049097.9	chr3	96596636	96599775	+	protein_coding	Ankrd34a
ENSMUSG00000086371.1	chr4	54646542	54689451	+	lincRNA	Gm12478
ENSMUSG00000117761.1	chr19	3134645	3134959	+	IG_V_pseudogene	Gm50428
ENSMUSG00000056399.2	chr17	25298394	25300165	+	protein_coding	Prss34
ENSMUSG00000078439.9	chr10	81393051	81395392	+	protein_coding	Smim24
ENSMUSG00000038722.17	chr5	145140362	145148078	+	protein_coding	Bud31
ENSMUSG00000045107.5	chr14	20075636	20138534	-	protein_coding	Saysd1
ENSMUSG00000064125.14	chr8	4209543	4217459	-	protein_coding	Prr36
ENSMUSG00000059208.15	chr17	33646233	33686860	-	protein_coding	Hnrnpm
ENSMUSG00000079164.8	chr1	182954788	182976044	+	protein_coding	Tlr5
ENSMUSG00000027438.14	chr2	148693985	148732467	-	protein_coding	Napb
ENSMUSG00000033191.14	chr4	118471191	118490061	-	protein_coding	Tie1
ENSMUSG00000092469.1	chr19	44773762	44784512	-	antisense	Gm20395
ENSMUSG00000109376.1	chr17	37952051	37953079	-	protein_coding	Olfr761
ENSMUSG00000023938.8	chr17	45506841	45520843	+	protein_coding	Aars2
ENSMUSG00000073628.5	chr1	85604085	85611896	-	antisense	Gm10552
ENSMUSG00000031194.1	chrX	62467991	62468812	+	protein_coding	4931400O07Rik
ENSMUSG00000025407.7	chr10	127329882	127341974	-	protein_coding	Gli1
ENSMUSG00000078808.5	chr7	5401681	5413396	-	protein_coding	Vmn1r58
ENSMUSG00000026085.11	chr1	37946736	37957759	-	protein_coding	Lyg1
ENSMUSG00000017485.11	chr14	16365179	16435462	+	protein_coding	Top2b
ENSMUSG00000068231.5	chr6	89858934	89876413	-	protein_coding	Vmn1r43
ENSMUSG00000100931.1	chr9	96027101	96040673	-	antisense	Gm28085
ENSMUSG00000078201.5	chr2	25255439	25256292	+	protein_coding	Tmem203
ENSMUSG00000091114.1	chr14	4249631	4258006	+	protein_coding	Gm3138
ENSMUSG00000027878.11	chr3	98013527	98150361	+	protein_coding	Notch2
ENSMUSG00000087387.2	chr17	27635343	27636868	+	antisense	Gm15420
ENSMUSG00000043673.11	chr12	11090202	11151056	-	protein_coding	Kcns3
ENSMUSG00000098794.1	chr2	30281043	30301078	+	protein_coding	Gm28038
ENSMUSG00000026235.14	chr1	77367185	77515088	-	protein_coding	Epha4
ENSMUSG00000027257.13	chr2	91255954	91264679	+	protein_coding	Pacsin3
ENSMUSG00000030472.9	chr7	43634707	43649295	+	protein_coding	Ceacam18
ENSMUSG00000117505.1	chr18	7868018	7869113	-	antisense	Gm9993
ENSMUSG00000057446.3	chr13	61246745	61255358	-	protein_coding	Cts8
ENSMUSG00000020454.17	chr11	3202392	3244588	+	protein_coding	Eif4enif1
ENSMUSG00000036299.5	chr18	75005868	75010152	+	protein_coding	BC031181
ENSMUSG00000029313.18	chr5	103692374	103855322	+	protein_coding	Aff1
ENSMUSG00000041353.12	chrX	150397773	150459154	-	protein_coding	Tmem29
ENSMUSG00000095285.2	chr12	113661769	113662293	-	IG_V_gene	Ighv5-9
ENSMUSG00000017210.14	chr11	98704591	98729435	-	protein_coding	Med24
ENSMUSG00000045404.16	chr12	99964499	100062682	+	protein_coding	Kcnk13
ENSMUSG00000071415.6	chr11	97777527	97782437	-	protein_coding	Rpl23
ENSMUSG00000102794.1	chr1	184376344	184382441	-	lincRNA	Gm37712
ENSMUSG00000101334.1	chr3	83555363	83574122	-	lincRNA	1700028M03Rik
ENSMUSG00000038491.9	chr10	40348508	40350103	-	antisense	Cdk19os
ENSMUSG00000036875.15	chr10	62947026	62974185	+	protein_coding	Dna2
ENSMUSG00000092131.1	chr9	66798678	66804359	-	antisense	BC050972
ENSMUSG00000029072.3	chr4	155859268	155863362	-	protein_coding	Tas1r3
ENSMUSG00000020429.7	chr11	7197782	7202546	+	protein_coding	Igfbp1
ENSMUSG00000063358.17	chr16	16983382	17047453	+	protein_coding	Mapk1
ENSMUSG00000073609.9	chr1	93824909	93852348	+	protein_coding	D2hgdh
ENSMUSG00000094596.1	chrX	4289286	4291245	-	protein_coding	Btbd35f20
ENSMUSG00000039853.18	chr4	46493781	46536141	-	protein_coding	Trim14
ENSMUSG00000022013.4	chr14	77820681	77875125	-	protein_coding	Dnajc15
ENSMUSG00000034105.9	chr8	119760076	119778416	-	protein_coding	Meak7
ENSMUSG00000028167.15	chr3	135281221	135304426	+	protein_coding	Bdh2
ENSMUSG00000036686.16	chr8	84132828	84147936	-	protein_coding	Cc2d1a
ENSMUSG00000012117.13	chr4	133969028	134000918	-	protein_coding	Dhdds
ENSMUSG00000058672.7	chr13	34074274	34078007	-	protein_coding	Tubb2a
ENSMUSG00000045636.16	chr8	40990914	41133726	-	protein_coding	Mtus1
ENSMUSG00000003974.6	chr5	9485541	9725170	-	protein_coding	Grm3
ENSMUSG00000024505.16	chr18	49696145	49755601	-	protein_coding	Dtwd2
ENSMUSG00000113216.1	chr13	28394453	28420066	-	lincRNA	Gm40841
ENSMUSG00000115015.1	chr14	46645817	46673775	-	lincRNA	D330046F09Rik
ENSMUSG00000074300.4	chr8	65085613	65129563	-	protein_coding	Smim31
ENSMUSG00000031697.12	chr8	85299632	85308278	+	protein_coding	Orc6
ENSMUSG00000104448.1	chr3	75956101	76001136	+	lincRNA	Gm37256
ENSMUSG00000029910.14	chr6	66535390	66547220	+	protein_coding	Mad2l1
ENSMUSG00000071586.4	chr15	102503722	102503886	+	protein_coding	Gm10337
ENSMUSG00000100714.6	chrX	13234641	13247736	-	lincRNA	2010308F09Rik
ENSMUSG00000079469.10	chr9	73007419	73040378	-	protein_coding	Pigb
ENSMUSG00000022595.7	chr15	74732247	74734329	-	protein_coding	Lypd2
ENSMUSG00000085055.2	chr18	66291274	66319645	+	antisense	Gm15958
ENSMUSG00000099983.1	chr16	59462909	59469238	-	lincRNA	1700022E09Rik
ENSMUSG00000086185.1	chrX	67458196	67459203	+	lincRNA	1700036O09Rik
ENSMUSG00000018809.2	chr11	75348433	75405705	+	protein_coding	Smyd4
ENSMUSG00000110016.1	chr13	43716791	43719038	+	lincRNA	Gm20751
ENSMUSG00000035919.16	chr9	22475715	22888280	+	protein_coding	Bbs9
ENSMUSG00000030116.14	chr6	122505845	122529290	+	protein_coding	Mfap5
ENSMUSG00000002068.16	chr7	38097984	38107534	-	protein_coding	Ccne1
ENSMUSG00000095126.3	chr14	53709902	53710419	+	TR_V_gene	Trav6-7-dv9
ENSMUSG00000024456.16	chr18	37843601	37935476	-	protein_coding	Diaph1
ENSMUSG00000094921.2	chr17	22600951	22620842	+	protein_coding	Vmn2r112
ENSMUSG00000114136.1	chr12	12351522	12392615	-	antisense	4921511I17Rik
ENSMUSG00000046731.5	chr11	69878261	69881406	-	protein_coding	Kctd11
ENSMUSG00000028182.14	chr3	155093434	155194280	+	protein_coding	Lrriq3
ENSMUSG00000001508.15	chr11	94962791	94976327	-	protein_coding	Sgca
ENSMUSG00000102123.1	chr1	72107155	72122001	-	lincRNA	Gm4319
ENSMUSG00000044186.10	chr14	69171802	69175518	+	protein_coding	Nkx2-6
ENSMUSG00000110474.1	chr8	69419497	69425233	+	lincRNA	Gm45848
ENSMUSG00000108777.1	chr7	66078902	66079473	-	lincRNA	Gm45081
ENSMUSG00000100979.1	chr1	120856674	120858010	+	lincRNA	Gm29347
ENSMUSG00000073602.10	chr1	107153940	107278361	-	protein_coding	Serpinb3b
ENSMUSG00000024552.16	chr18	78146148	78596942	-	protein_coding	Slc14a2
ENSMUSG00000078945.10	chr13	100144063	100202092	-	protein_coding	Naip2
ENSMUSG00000032246.14	chr9	62858080	62875921	+	protein_coding	Calml4
ENSMUSG00000056735.5	chr5	122989354	122998345	+	antisense	A930024E05Rik
ENSMUSG00000087198.4	chr4	149477378	149483549	+	protein_coding	Tmem274
ENSMUSG00000031383.8	chrX	73639419	73643514	+	protein_coding	Dusp9
ENSMUSG00000056854.4	chrX	110814280	110817207	+	protein_coding	Pou3f4
ENSMUSG00000026259.14	chr1	87476834	87573870	-	protein_coding	Ngef
ENSMUSG00000039519.6	chr3	18071950	18243338	-	protein_coding	Cyp7b1
ENSMUSG00000075144.5	chr2	87947053	87953100	-	protein_coding	Olfr1156
ENSMUSG00000090171.1	chr1	88200601	88218997	+	protein_coding	Ugt1a2
ENSMUSG00000105096.1	chr5	105215699	105239533	-	protein_coding	Gbp10
ENSMUSG00000076915.3	chr14	54205111	54205144	+	TR_J_pseudogene	Traj14
ENSMUSG00000020268.14	chr11	54826866	54860916	-	protein_coding	Lyrm7
ENSMUSG00000059279.11	chr11	58565856	58570553	-	protein_coding	Olfr224
ENSMUSG00000097379.2	chr17	17389943	17411993	-	antisense	Gm26873
ENSMUSG00000111982.1	chr12	52475739	52480609	-	lincRNA	Gm35135
ENSMUSG00000071104.10	chr8	45934619	45944145	+	protein_coding	Ccdc110
ENSMUSG00000096036.2	chrY	5942460	5945031	+	protein_coding	Gm21778
ENSMUSG00000074277.4	chr7	24610763	24629297	+	protein_coding	Phldb3
ENSMUSG00000107266.1	chr5	67360387	67366599	+	lincRNA	Gm43698
ENSMUSG00000018334.18	chr11	79013440	79146407	-	protein_coding	Ksr1
ENSMUSG00000072949.6	chr12	84009490	84018371	+	protein_coding	Acot1
ENSMUSG00000113717.1	chr13	4643907	4749064	+	lincRNA	Gm40658
ENSMUSG00000113321.1	chr12	73793483	73808411	+	lincRNA	Gm8075
ENSMUSG00000048661.14	chr10	120923413	120979332	-	protein_coding	Lemd3
ENSMUSG00000095756.2	chr14	53007612	53008098	+	TR_V_gene	Trav6d-7
ENSMUSG00000028990.13	chr4	149485229	149496668	+	protein_coding	Lzic
ENSMUSG00000084835.1	chr11	98438037	98439046	+	antisense	Gm12352
ENSMUSG00000020775.13	chr11	116131817	116138868	-	protein_coding	Mrpl38
ENSMUSG00000053961.7	chr14	43957069	43963072	+	protein_coding	Ang5
ENSMUSG00000108415.1	chr7	25860140	25869883	+	lincRNA	Gm30146
ENSMUSG00000026134.11	chr1	33453810	33669795	-	protein_coding	Prim2
ENSMUSG00000026281.15	chr1	93792576	93801934	-	protein_coding	Dtymk
ENSMUSG00000112919.1	chr10	118351697	118354105	-	protein_coding	Gm9049
ENSMUSG00000041168.10	chr17	56614297	56626887	-	protein_coding	Lonp1
ENSMUSG00000096956.2	chr15	32240565	32244662	-	lincRNA	Snhg18
ENSMUSG00000032036.15	chr9	34485894	35036716	+	protein_coding	Kirrel3
ENSMUSG00000022528.8	chr16	30064384	30067796	+	protein_coding	Hes1
ENSMUSG00000038255.6	chr11	98325415	98329648	-	protein_coding	Neurod2
ENSMUSG00000103300.1	chr12	114963380	114963813	-	IG_V_pseudogene	Ighv1-44
ENSMUSG00000028555.15	chr4	109406623	109444745	+	protein_coding	Ttc39a
ENSMUSG00000029386.15	chr5	124598749	124627738	+	protein_coding	Tctn2
ENSMUSG00000029592.11	chr5	114065461	114124720	+	protein_coding	Usp30
ENSMUSG00000022246.14	chr15	10568969	10714624	-	protein_coding	Rai14
ENSMUSG00000017466.9	chr11	118301069	118355740	-	protein_coding	Timp2
ENSMUSG00000071856.10	chr18	44425060	44812182	-	protein_coding	Mcc
ENSMUSG00000022195.7	chr15	12808177	12824649	-	protein_coding	6030458C11Rik
ENSMUSG00000085391.1	chr1	38235420	38246666	+	antisense	Gm16150
ENSMUSG00000035367.9	chr13	58402248	58411148	+	protein_coding	Rmi1
ENSMUSG00000100425.1	chrY	59517690	59520925	+	lincRNA	Gm29131
ENSMUSG00000031490.6	chr8	27260329	27276674	+	protein_coding	Eif4ebp1
ENSMUSG00000039508.6	chr10	34038784	34044310	-	protein_coding	Calhm4
ENSMUSG00000107682.1	chr6	84008898	84012121	-	antisense	Gm33024
ENSMUSG00000100647.6	chrY	36794110	36797345	-	lincRNA	Gm29027
ENSMUSG00000049902.6	chr13	59687402	59694108	-	protein_coding	4921517D22Rik
ENSMUSG00000047369.17	chr1	181576559	181815774	+	protein_coding	Dnah14
ENSMUSG00000002129.11	chr11	4160350	4182541	+	protein_coding	Sf3a1
ENSMUSG00000052477.15	chr1	84992690	85270566	-	protein_coding	C130026I21Rik
ENSMUSG00000109794.1	chr8	28527826	28529717	-	lincRNA	Gm45571
ENSMUSG00000025060.15	chr19	47579678	47645246	+	protein_coding	Slk
ENSMUSG00000103620.1	chr3	65829116	65872281	-	antisense	Gm37359
ENSMUSG00000115719.1	chr14	47755092	47757498	-	lincRNA	4930538L07Rik
ENSMUSG00000069372.3	chr18	57468516	57478133	+	protein_coding	Ctxn3
ENSMUSG00000030844.11	chr7	128373621	128418758	-	protein_coding	Rgs10
ENSMUSG00000104876.1	chr14	54142851	54148868	+	TR_C_gene	Trdc
ENSMUSG00000102656.1	chr12	114835223	114835656	-	IG_V_pseudogene	Ighv1-32
ENSMUSG00000004360.9	chr10	29211606	29230779	+	protein_coding	9330159F19Rik
ENSMUSG00000020694.17	chr11	105178807	105283959	+	protein_coding	Tlk2
ENSMUSG00000092622.8	chr9	73101836	73104438	+	protein_coding	Khdc3
ENSMUSG00000049536.5	chrX	136707982	136711478	+	protein_coding	Tceal1
ENSMUSG00000086630.1	chr2	165159412	165163969	+	antisense	Gm14397
ENSMUSG00000025873.16	chr13	54621784	54664063	+	protein_coding	Faf2
ENSMUSG00000041684.11	chr1	44118957	44144770	+	protein_coding	Bivm
ENSMUSG00000076873.2	chr14	54148662	54149294	-	TR_V_gene	Trdv5
ENSMUSG00000084174.3	chr7	28540885	28542209	+	protein_coding	Sycn
ENSMUSG00000042874.2	chr13	32800633	32803091	-	antisense	D930007J09Rik
ENSMUSG00000117485.1	chr17	84134033	84156440	-	lincRNA	Gm19696
ENSMUSG00000109459.1	chrX	94731399	94745359	+	lincRNA	Gm39526
ENSMUSG00000028546.17	chr4	110203722	110351909	-	protein_coding	Elavl4
ENSMUSG00000093945.1	chr14	41977873	41983325	-	protein_coding	Gm3543
ENSMUSG00000030166.14	chr6	119902698	119922828	+	protein_coding	Rad52
ENSMUSG00000086931.1	chr6	31356743	31372369	+	lincRNA	Gm14532
ENSMUSG00000068234.7	chr6	89883660	89894888	+	protein_coding	Vmn1r44
ENSMUSG00000024078.7	chr17	74717732	74863570	+	protein_coding	Ttc27
ENSMUSG00000032215.15	chr9	73113426	73123333	+	protein_coding	Rsl24d1
ENSMUSG00000075014.1	chr2	98666547	98667301	-	protein_coding	Gm10800
ENSMUSG00000078907.2	chr15	99271018	99295888	-	protein_coding	Fam186b
ENSMUSG00000038644.14	chr7	44532746	44548849	-	protein_coding	Pold1
ENSMUSG00000037973.6	chr6	55836895	55978735	+	protein_coding	Itprid1
ENSMUSG00000051502.7	chr5	137294629	137295665	+	protein_coding	Ufsp1
ENSMUSG00000026321.7	chr1	105780718	105847981	+	protein_coding	Tnfrsf11a
ENSMUSG00000031637.13	chr8	45999303	46029477	+	protein_coding	Lrp2bp
ENSMUSG00000041915.9	chr18	31759826	31782743	+	protein_coding	Ammecr1l
ENSMUSG00000114141.1	chr12	36326341	36331936	+	lincRNA	Gm34215
ENSMUSG00000024870.6	chr19	5099205	5107072	-	protein_coding	Rab1b
ENSMUSG00000056763.16	chr1	10037987	10136768	+	protein_coding	Cspp1
ENSMUSG00000104718.1	chr5	18481705	18490194	-	lincRNA	Gm31752
ENSMUSG00000110773.1	chr9	44877891	44884397	+	antisense	Gm39326
ENSMUSG00000107265.1	chr5	31135753	31137344	-	antisense	Gm15469
ENSMUSG00000101899.1	chr8	12282211	12282612	+	lincRNA	Gm29175
ENSMUSG00000001768.16	chr2	145675215	145887616	+	protein_coding	Rin2
ENSMUSG00000030945.17	chr7	119554340	119600690	+	protein_coding	Acsm2
ENSMUSG00000094607.2	chr14	52929789	52930282	+	TR_V_gene	Trav12d-3
ENSMUSG00000109458.1	chr7	68384779	68392029	+	lincRNA	Gm44889
ENSMUSG00000094811.7	chr14	6296365	6304843	-	protein_coding	Gm21103
ENSMUSG00000049090.3	chr18	84088063	84097528	+	protein_coding	Zadh2
ENSMUSG00000028923.14	chr4	141066512	141078357	-	protein_coding	Necap2
ENSMUSG00000097240.1	chr9	117873144	117881202	+	lincRNA	Gm26614
ENSMUSG00000031778.13	chr8	94772009	94782427	+	protein_coding	Cx3cl1
ENSMUSG00000044121.3	chrX	77919786	77925062	-	protein_coding	5430402E10Rik
ENSMUSG00000096506.1	JH584293.1	103128	104629	+	protein_coding	CR974586.4
ENSMUSG00000035775.2	chr11	99428403	99438150	-	protein_coding	Krt20
ENSMUSG00000023140.4	chr6	78395623	78408106	+	protein_coding	Reg2
ENSMUSG00000055691.5	chrX	160902116	160907052	-	protein_coding	Gja6
ENSMUSG00000033316.14	chr5	110544355	110621380	+	protein_coding	Galnt9
ENSMUSG00000022619.5	chr15	89453913	89464468	+	protein_coding	Mapk8ip2
ENSMUSG00000026307.12	chr1	91298338	91321075	+	protein_coding	Scly
ENSMUSG00000026848.14	chr2	30952959	30959015	+	protein_coding	Tor1b
ENSMUSG00000108395.1	chr7	41209259	41209904	-	lincRNA	Gm34811
ENSMUSG00000041354.16	chr17	33929543	33937687	+	protein_coding	Rgl2
ENSMUSG00000040351.11	chr5	3690000	3802925	-	protein_coding	Ankib1
ENSMUSG00000076902.1	chr14	54192303	54192361	+	TR_J_gene	Traj27
ENSMUSG00000110559.1	chr8	93646386	93687958	-	lincRNA	Gm26843
ENSMUSG00000053436.15	chr17	28691329	28748406	+	protein_coding	Mapk14
ENSMUSG00000101222.1	chrY	51460090	51463433	-	lincRNA	Gm28315
ENSMUSG00000024650.5	chr19	8618039	8628299	+	protein_coding	Slc22a6
ENSMUSG00000064294.12	chr1	58113130	58200698	+	protein_coding	Aox3
ENSMUSG00000037685.15	chr5	67618140	67847434	-	protein_coding	Atp8a1
ENSMUSG00000097462.7	chr6	92940329	93272979	+	antisense	9530026P05Rik
ENSMUSG00000085488.1	chr13	23276204	23313400	-	lincRNA	4930557F10Rik
ENSMUSG00000097700.1	chr6	17834585	17835185	-	antisense	Gm26738
ENSMUSG00000109297.1	chr11	81983119	82019967	-	lincRNA	Gm31522
ENSMUSG00000049744.15	chr2	43748824	44395953	+	protein_coding	Arhgap15
ENSMUSG00000087094.1	chr4	150113879	150119263	-	lincRNA	Gm13093
ENSMUSG00000104452.1	chr12	115294062	115294504	-	IG_V_gene	Ighv8-8
ENSMUSG00000025340.14	chr5	130171798	130214342	+	protein_coding	Rabgef1
ENSMUSG00000032656.14	chr18	56761716	56925548	-	protein_coding	Marchf3
ENSMUSG00000027435.8	chr2	148436640	148443563	-	protein_coding	Cd93
ENSMUSG00000005897.14	chr10	94148023	94197211	+	protein_coding	Nr2c1
ENSMUSG00000094561.1	chr12	114746273	114746706	-	IG_V_gene	Ighv1-22
ENSMUSG00000061298.14	chr4	110397661	111664324	+	protein_coding	Agbl4
ENSMUSG00000044737.6	chr7	43690418	43695536	+	protein_coding	Klk14
ENSMUSG00000032370.8	chr9	66955388	66975484	-	protein_coding	Lactb
ENSMUSG00000068394.4	chr2	125563088	125625113	-	protein_coding	Cep152
ENSMUSG00000101156.1	chr1	69513932	69547707	+	antisense	Gm29114
ENSMUSG00000108866.1	chr7	100675088	100677760	+	lincRNA	Gm35082
ENSMUSG00000094829.2	chrY	16923785	16924282	+	lincRNA	Gm21809
ENSMUSG00000108436.1	chr7	80404269	80406577	+	antisense	Gm44851
ENSMUSG00000001158.13	chr6	86675151	86684522	-	protein_coding	Snrnp27
ENSMUSG00000038252.13	chr6	125168007	125191701	-	protein_coding	Ncapd2
ENSMUSG00000094335.2	chr6	68121046	68121827	+	IG_V_gene	Igkv1-117
ENSMUSG00000040016.16	chr3	157566892	157645888	+	protein_coding	Ptger3
ENSMUSG00000118170.1	chr18	65863333	65894755	-	antisense	Gm30094
ENSMUSG00000096918.2	chr16	21247499	21296872	-	lincRNA	Gm16863
ENSMUSG00000104411.1	chr3	17328694	17334425	-	lincRNA	Gm30340
ENSMUSG00000017417.14	chr11	97923238	97986444	-	protein_coding	Plxdc1
ENSMUSG00000055254.15	chr13	58806569	59133970	+	protein_coding	Ntrk2
ENSMUSG00000024186.15	chr17	26202951	26211324	+	protein_coding	Rgs11
ENSMUSG00000085896.2	chr13	54913235	54914479	+	lincRNA	5330429C05Rik
ENSMUSG00000118190.1	chr19	59690734	59691100	+	lincRNA	Gm50411
ENSMUSG00000027978.9	chr3	123446913	123506597	+	protein_coding	Prss12
ENSMUSG00000093553.1	chr3	96243550	96246380	-	antisense	Gm20633
ENSMUSG00000022558.16	chr15	76380261	76453038	+	protein_coding	Mroh1
ENSMUSG00000112813.1	chr10	71287729	71292483	+	lincRNA	Gm34376
ENSMUSG00000117446.1	chr17	84020663	84026019	-	lincRNA	Gm35551
ENSMUSG00000090227.1	chr17	49894742	49895967	-	antisense	Gm16554
